"system","code","display","count"
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","Q61.3",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","G20.10",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","G20.90",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","C61",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","N40",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","F10.1",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","F17.1",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","K21.0",,2
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","E78.0",,3
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","F41.0",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","A49",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","J18.8",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","J44.81",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","R13.9",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","T88.7",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","J46",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","J46",,1
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S72.08",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S42.24",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S62.31",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S02.62",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S62.12",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S42.11",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S72.01",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S72.3",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S72.42",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S42.7",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S42.00",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S72.03",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S72.43",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S02.9",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S62.51",,103
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S62.19",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S72.04",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S72.41",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S62.7",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S02.60",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S62.15",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S42.19",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S02.66",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S42.03",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S02.1",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S72.44",,102
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S62.14",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S62.50",,205
"http://fhir.de/CodeSystem/bfarm/icd-10-gm","S02.67",,205
